Station name
Jurong East
Bukit Batok
Bukit Gombak
Choa Chu Kang
Yew Tee
Kranji
Marsiling
Woodlands
Admiralty
Sembawang
Canberra
Yishun
Khatib
Yio Chu Kang
Ang Mo Kio
Bishan
Braddell
Toa Payoh
Novena
Newton
Orchard
Somerset
Dhoby Ghaut
City Hall
Raffles Place
Marina Bay
Marina South Pier
Pasir Ris
Tampines
Simei
Tanah Merah
Bedok
Kembangan
Eunos
Paya Lebar
Aljunied
Kallang
Lavender
Bugis
City Hall
Raffles Place
Tanjong Pagar
Outram Park
Tiong Bahru
Redhill
Queenstown
Commonwealth
Buona Vista
Dover
Clementi
Jurong East
Chinese Garden
Lakeside
Boon Lay
Pioneer
Joo Koon
Gul Circle
Tuas Crescent
Tuas West Road
Tuas Link

Expo
Changi Airport
HarbourFront
Outram Park
Chinatown
Clarke Quay
Dhoby Ghaut
Little India
Farrer Park
Boon Keng
Potong Pasir
Woodleigh
Serangoon
Kovan
Hougang
Buangkok
Sengkang
Punggol
Dhoby Ghaut
Bras Basah
Esplanade
Promenade
Nicoll Highway
Stadium
Mountbatten
Dakota
Paya Lebar
MacPherson
Tai Seng
Bartley
Serangoon
Lorong Chuan
Bishan
Marymount
Caldecott
Botanic Gardens • Kebun Bunga
Farrer Road
Holland Village
Buona Vista
one-north
Kent Ridge
Haw Par Villa
Pasir Panjang
Labrador Park
Telok Blangah
HarbourFront
Bayfront
Marina Bay
Bukit Panjang
Cashew
Hillview
Beauty World
King Albert Park
Sixth Avenue
Tan Kah Kee
Botanic Gardens • Kebun Bunga
Stevens
Newton
Little India
Rochor
Bugis
Promenade
Bayfront
Downtown
Telok Ayer
Chinatown
Fort Canning
Bencoolen
Jalan Besar
Bendemeer
Geylang Bahru
Mattar
MacPherson
Ubi
Kaki Bukit
Bedok North
Bedok Reservoir
Tampines West
Tampines
Tampines East
Upper Changi
Expo
Woodlands North
Woodlands
Woodlands South
Springleaf
Lentor
Mayflower
Bright Hill
Upper Thomson
Caldecott
Stevens
Napier
Orchard Boulevard
Orchard
Great World
Havelock
Outram Park
Maxwell
Shenton Way
Marina Bay
Gardens by the Bay • Taman di Pesisiran


































































































































































































































































































































































































































































































































































































































































































































































